cpu,memory,latency,errors,probability,risk,cost
91,69,14,6,56.0,MEDIUM,56000
40,86,23,7,45.0,LOW,45000
88,93,10,8,69.0,MEDIUM,69000
78,63,18,6,36.0,LOW,36000
40,52,12,0,7.0,LOW,7000
78,71,45,5,63.0,MEDIUM,63000
76,56,48,1,34.0,LOW,34000
41,80,15,5,42.0,LOW,42000
88,55,11,9,52.0,MEDIUM,52000
52,81,38,8,67.0,MEDIUM,67000
55,56,48,6,50.0,LOW,50000
50,91,27,1,30.0,LOW,30000
71,61,43,8,50.0,LOW,50000
73,83,52,4,67.0,MEDIUM,67000
71,89,58,7,67.0,MEDIUM,67000
58,48,14,8,28.0,LOW,28000
72,78,53,4,64.0,MEDIUM,64000
83,79,44,2,51.0,MEDIUM,51000
56,82,23,7,45.0,LOW,45000
88,58,59,8,74.0,MEDIUM,74000
66,78,40,1,43.0,LOW,43000
84,75,10,0,20.0,LOW,20000
40,59,26,8,34.0,LOW,34000
71,71,38,9,55.0,MEDIUM,55000
88,59,22,8,52.0,MEDIUM,52000
48,52,45,8,50.0,LOW,50000
79,82,29,9,60.0,MEDIUM,60000
76,46,26,9,39.0,LOW,39000
55,91,51,8,67.0,MEDIUM,67000
49,66,52,5,50.0,LOW,50000
73,56,41,1,29.0,LOW,28999
85,70,55,1,41.0,LOW,41000
54,46,57,0,29.0,LOW,28999
41,49,55,3,36.0,LOW,36000
87,40,56,3,55.0,MEDIUM,55000
46,52,46,4,50.0,LOW,50000
91,90,39,0,70.0,MEDIUM,70000
64,73,36,3,41.0,LOW,41000
84,79,45,2,51.0,MEDIUM,51000
79,62,37,6,58.0,MEDIUM,57999
58,65,12,2,7.0,LOW,7000
75,88,13,1,24.0,LOW,24000
63,75,59,4,55.0,MEDIUM,55000
41,92,25,3,31.0,LOW,31000
74,53,46,2,29.0,LOW,28999
93,53,44,5,74.0,MEDIUM,74000
83,93,15,4,53.0,MEDIUM,53000
66,94,35,3,53.0,MEDIUM,53000
56,49,39,9,50.0,LOW,50000
58,85,20,5,45.0,LOW,45000
82,58,19,3,22.0,LOW,22000
65,41,39,7,50.0,LOW,50000
59,62,37,4,50.0,LOW,50000
73,58,34,7,50.0,LOW,50000
55,91,13,0,24.0,LOW,24000
48,80,28,9,49.0,LOW,49000
83,81,47,6,75.0,MEDIUM,75000
71,56,29,1,14.0,LOW,14000
43,61,29,0,14.0,LOW,14000
67,76,45,5,55.0,MEDIUM,55000
64,77,43,6,55.0,MEDIUM,55000
93,49,28,1,38.0,LOW,38000
92,83,24,7,69.0,MEDIUM,69000
45,63,56,8,50.0,LOW,50000
42,48,56,0,29.0,LOW,28999
49,43,34,6,50.0,LOW,50000
45,58,54,1,29.0,LOW,28999
64,69,12,8,32.0,LOW,32000
91,70,42,0,57.0,MEDIUM,56999
83,77,37,2,42.0,LOW,42000
91,82,52,0,70.0,MEDIUM,70000
80,59,53,9,58.0,MEDIUM,57999
84,62,32,5,54.0,MEDIUM,54000
70,92,23,1,24.0,LOW,24000
86,72,25,2,31.0,LOW,31000
89,45,59,2,53.0,MEDIUM,53000
64,48,36,1,29.0,LOW,28999
84,58,31,0,33.0,LOW,33000
82,47,29,7,43.0,LOW,43000
70,85,45,0,46.0,LOW,46000
51,92,43,7,67.0,MEDIUM,67000
41,76,45,3,41.0,LOW,41000
92,85,47,7,91.0,HIGH,91000
87,83,20,8,64.0,MEDIUM,64000
60,69,54,6,54.0,MEDIUM,54000
69,55,11,2,7.0,LOW,7000
49,51,13,6,28.0,LOW,28000
